,FileName,Center (px) (x-axis),Center (px) (y-axis),Diameter (px) (x-axis),Diameter (px) (y-axis),Diameter (px),Calculated Center X,Calculated Center Y,Calculated  Diameter,Difference Center,Difference Diameter
498,mv_730_lb_g,161,121,8,5,"9,43",161.0,122.0,10.0,1,"0,566018868"
499,mv_730_lt_g,143,112,9,2,"9,22",143.0,113.0,9.0,1,"0,219544457"
500,mv_730_cam_g,156,89,7,4,"8,06",156.0,88.0,8.0,1,"0,062257748"
501,mv_730_rt,131,117,8,5,"9,43",130.0,117.0,8.0,1,"1,433981132"
503,mv_730_lb,157,125,5,6,"7,81",153.0,123.0,13.0,"4,472135955","5,189750324"
504,mv_730_lt,157,113,6,6,"8,49",155.0,112.0,8.0,"2,236067977","0,485281374"
505,mv_730_cam,139,108,5,8,"9,43",137.0,108.0,9.0,2,"0,433981132"
506,mv_850_rt_g,137,111,7,9,"11,40",137.0,111.0,12.0,0,"0,598245749"
508,mv_850_lb_g,165,120,5,8,"9,43",164.0,121.0,10.0,"1,414213562","0,566018868"
509,mv_850_lt_g,153,104,7,7,"9,90",152.0,104.0,10.0,1,"0,100505063"
510,mv_850_cam_g,155,112,7,8,"10,63",157.0,113.0,8.0,"2,236067977","2,630145813"
511,mv_850_rt,128,120,4,9,"9,85",128.0,119.0,10.0,1,"0,151142198"
512,mv_850_rb,128,105,5,7,"8,60",127.0,104.0,11.0,"1,414213562","2,397674733"
513,mv_850_lb,150,121,9,5,"10,30",150.0,121.0,9.0,0,"1,295630141"
514,mv_850_lt,144,111,6,8,"10,00",143.0,109.0,10.0,"2,236067977",0
515,mv_850_cam,138,112,5,7,"8,60",139.0,112.0,9.0,1,"0,397674733"
